21,16
30,5
12,17
12,10
14,25
8,23
6,24
21,19
11,25
2,29
21,4
4,11
15,7
4,17
14,22
20,5
1,17
8,1
10,5
3,9
12,21
15,13
4,27
17,16
29,9
28,10
31,21
5,11
7,21
23,2
29,7
8,29
2,20
11,17
9,21
8,22
9,10
14,27
22,21
23,1
3,16
30,6
8,5
18,11
17,29
12,24
0,1
16,30
18,8
2,14
11,3
30,21
12,0
10,9
2,6
31,22
27,30
21,1
24,17
27,11
3,19
11,24
2,1
29,16
13,7
27,6
29,5
22,24
5,19
23,22
6,2
24,6
20,6
0,16
27,20
9,31
17,27
28,15
1,25
26,11
5,3
2,26
4,2
10,28
22,6
13,3
13,30
18,15
27,31
7,5
31,2
21,23
20,3
23,6
8,7
12,5
15,1
11,0
25,22
23,29
1,31
19,1
8,15
2,22
4,12
15,5
21,30
12,19
25,19
0,24
7,10
30,25
20,11
2,25
13,2
23,14
24,31
9,28
3,28
25,23
14,8
7,18
12,30
21,22
21,5
30,2
27,21
10,16
31,27
4,31
25,30
4,3
3,14
1,10
18,1
19,11
8,21
20,18
25,15
24,16
0,20
1,15
21,6
22,13
6,14
16,10
9,24
23,5
16,31
13,1
30,11
9,14
25,24
6,5
0,26
29,20
31,29
9,22
5,6
18,31
