9,118	-5
31,71	-2
104,96	-7
121,26	-1
60,87	-1
105,65	-7
5,49	-6
115,29	53
93,6	76
43,44	56
31,61	18
118,86	127
95,29	116
54,78	83
17,99	113
46,119	2
102,31	110
8,83	11
78,55	18
53,95	17
35,101	96
36,107	68
95,16	30
4,84	73
116,73	108
19,36	69
28,87	16
29,2	24
59,20	107
58,4	104
42,14	15
118,52	13
126,37	107
94,106	3
52,30	14
40,80	98
64,99	107
116,38	21
109,101	39
87,24	70
30,100	85
45,85	52
69,127	51
100,31	111
44,93	60
65,2	54
106,83	45
81,9	96
17,76	86
28,1	98
71,115	7
117,97	101
59,4	112
71,37	75
77,94	17
56,57	58
94,116	81
86,32	33
58,13	100
95,33	44
76,21	104
94,104	112
24,81	62
36,29	24
37,122	52
77,92	12
28,123	88
73,20	61
87,64	8
31,63	28
1,76	35
106,102	108
33,34	100
65,116	102
36,28	71
4,72	115
70,67	19
69,123	93
97,73	88
70,98	74
16,54	5
71,43	104
44,99	91
23,43	127
7,82	110
30,49	115
114,20	120
103,2	94
114,52	30
71,72	59
50,84	127
57,17	100
14,20	34
13,58	85
86,78	32
112,94	102
13,76	28
125,22	128
86,12	102
89,50	125
82,37	95
9,51	44
15,106	117
121,46	52
106,99	78
122,100	74
96,56	4
24,42	116
76,19	118
26,124	85
6,49	28
13,80	46
84,20	105
34,4	32
57,27	18
76,121	74
125,100	93
97,59	97
7,63	66
44,71	80
94,44	4
45,78	126
111,11	13
125,3	85
103,13	45
14,88	22
65,5	20
73,56	39
92,43	27
41,28	82
52,115	53
105,16	59
17,122	36
106,0	110
72,71	69
75,109	85
103,72	13
116,77	2
94,80	16
2,75	121
6,11	37
77,37	21
20,30	13
14,84	18
91,108	32
69,68	99
102,53	102
108,68	97
84,19	53
39,123	109
2,118	39
97,127	39
90,51	122
34,105	65
106,73	68
2,112	21
15,89	126
121,122	11
80,15	80
7,36	115
73,113	40
105,37	92
45,70	123
81,38	15
77,24	78
90,96	57
35,125	77
56,28	104
79,41	25
74,103	103
20,123	33
25,34	27
42,1	23
117,46	116
3,42	99
31,102	13
92,21	33
72,36	9
42,73	13
81,4	89
68,54	111
8,41	110
91,81	95
92,35	124
30,35	121
61,80	93
27,39	93
33,79	62
62,79	16
101,89	11
124,3	14
2,25	99
11,116	59
86,104	116
58,31	114
104,109	18
63,88	86
114,11	102
25,36	68
24,50	4
92,93	105
17,107	80
125,81	112
54,40	113
113,78	70
42,80	76
74,108	87
25,125	55
14,104	101
68,90	105
125,109	65
81,48	76
5,39	3
28,125	61
11,104	34
118,42	102
98,82	120
23,61	42
121,59	17
51,26	103
44,73	88
106,43	112
60,121	5
17,16	14
92,13	78
6,31	115
83,21	81
7,92	91
29,16	52
73,55	77
33,82	97
66,40	66
70,62	117
99,15	23
53,49	85
18,20	75
38,5	66
114,98	125
30,84	18
40,43	62
99,80	32
92,89	60
56,70	66
80,79	61
103,124	48
49,10	85
39,7	14
124,94	27
111,71	104
127,125	32
21,14	71
40,17	30
80,32	42
15,9	11
107,14	1
11,115	21
85,20	2
48,111	66
79,7	109
1,33	26
94,120	30
69,52	34
93,15	119
56,67	35
54,87	13
17,67	96
40,98	32
25,73	78
51,29	60
65,66	116
115,40	29
121,106	109
20,4	45
58,51	75
43,6	47
0,90	80
22,63	120
36,79	45
40,103	68
88,74	82
87,101	7
54,31	108
37,10	78
25,37	38
112,32	13
67,91	77
124,79	99
116,8	98
77,21	71
5,6	59
37,62	22
31,1	75
78,21	118
40,73	41
113,88	20
0,12	99
35,5	28
25,16	72
2,33	2
28,74	48
100,11	117
16,99	105
13,109	20
65,3	78
111,121	56
91,6	52
83,106	113
113,94	55
6,125	15
108,83	10
93,109	70
18,94	80
40,10	83
37,85	54
119,1	40
84,32	56
47,1	11
99,41	91
110,45	47
97,83	76
43,35	39
72,17	25
12,4	79
75,119	126
125,58	121
76,89	1
84,115	121
49,89	86
54,6	115
6,111	59
122,69	114
51,78	72
48,101	39
55,60	117
113,24	47
55,109	71
122,23	73
13,103	74
127,62	20
74,48	80
42,99	14
1,124	116
11,65	84
