21,16
62,5
44,49
44,10
46,57
40,23
6,56
21,19
11,57
34,61
21,4
4,11
15,39
36,17
14,54
20,37
33,17
8,1
42,37
3,41
44,53
15,13
36,27
49,48
29,9
28,10
63,21
37,43
39,53
55,34
61,7
8,29
2,20
11,17
41,21
40,29
40,54
41,42
14,27
54,21
23,33
3,16
62,38
8,5
18,11
49,61
12,56
23,1
32,33
48,62
18,8
2,46
11,3
30,53
44,0
10,9
34,6
63,22
59,62
21,33
56,49
59,43
35,19
43,24
34,1
29,16
13,7
59,38
61,37
22,56
37,19
23,22
38,2
56,38
29,37
52,6
0,48
59,52
41,31
49,59
60,15
1,25
58,11
37,35
34,26
4,2
10,28
22,6
13,35
13,62
18,15
27,31
7,37
63,2
53,23
52,3
23,6
40,39
44,5
47,1
11,32
57,22
55,29
1,63
51,1
8,15
2,54
36,44
15,37
21,30
44,51
54,22
43,0
57,19
32,24
7,42
30,25
20,11
34,25
54,6
13,2
55,14
24,63
41,60
3,28
57,23
14,40
7,18
44,30
53,22
53,5
62,2
27,21
10,48
31,27
63,59
4,31
25,62
4,3
61,29
3,46
1,42
50,1
19,11
8,21
20,18
25,47
24,16
0,20
33,15
53,38
22,45
38,46
48,10
9,24
55,37
48,63
45,1
30,43
9,14
25,24
38,5
0,58
61,20
31,61
17,59
1,17
41,54
5,38
18,63
58,53
51,25
52,46
16,40
20,39
26,41
50,39
14,53
21,40
10,4
38,0
31,47
37,0
39,58
27,29
25,17
16,13
26,18
61,52
22,12
4,0
16,7
31,17
54,4
23,30
57,5
54,20
28,16
62,0
10,49
27,46
44,62
23,18
59,30
13,40
19,12
9,25
44,28
63,48
61,36
54,30
63,58
35,18
54,34
4,33
48,4
52,13
55,13
61,6
11,18
46,49
15,54
46,41
2,14
16,3
49,4
43,57
28,59
54,47
62,18
0,37
25,6
24,3
9,17
30,57
16,2
56,36
39,62
7,49
18,5
26,4
55,54
33,27
48,22
36,46
31,13
52,26
2,49
34,63
48,39
33,7
5,40
27,32
37,11
44,60
31,45
12,5
9,38
7,40
16,25
53,43
62,8
30,49
40,34
8,9
29,11
51,24
2,37
7,50
42,7
15,11
10,35
8,59
46,38
56,62
42,32
18,37
45,51
45,15
40,20
8,6
11,46
40,17
14,26
28,22
25,46
0,5
58,1
40,49
8,31
41,34
57,33
14,13
44,39
29,56
31,57
47,45
61,30
60,19
42,1
19,9
16,53
15,21
51,54
6,62
12,49
3,54
20,7
55,60
31,15
43,1
43,26
57,10
57,58
60,21
27,5
5,63
15,22
16,37
11,21
54,10
25,56
35,57
37,10
11,43
21,43
25,42
24,25
40,55
2,45
54,41
23,41
22,24
37,48
36,57
24,22
62,10
8,26
21,49
50,32
15,59
14,62
37,61
18,24
5,53
45,27
60,12
53,25
1,2
0,32
22,39
11,5
20,36
43,37
53,60
52,18
22,36
29,58
56,40
14,49
57,49
42,13
46,32
59,10
42,17
56,35
48,12
26,62
28,18
51,53
51,28
36,51
62,36
17,33
25,38
18,3
43,28
8,56
63,25
46,53
0,44
44,16
42,56
48,20
