key: 666 	color: BLACK	rank: 40	size: 60	parent: NIL 	lchild: 446 	rchild: 869 
key: 446 	color: RED  	rank: 24	size: 39	parent: 666 	lchild: 218 	rchild: 528 
key: 218 	color: BLACK	rank: 11	size: 23	parent: 446 	lchild: 144 	rchild: 315 
key: 144 	color: BLACK	rank: 7 	size: 10	parent: 218 	lchild: 71  	rchild: 198 
key: 71  	color: RED  	rank: 3 	size: 6 	parent: 144 	lchild: 45  	rchild: 128 
key: 45  	color: BLACK	rank: 2 	size: 2 	parent: 71  	lchild: 44  	rchild: NIL 
key: 44  	color: RED  	rank: 1 	size: 1 	parent: 45  	lchild: NIL 	rchild: NIL 
key: 128 	color: BLACK	rank: 5 	size: 3 	parent: 71  	lchild: 97  	rchild: 143 
key: 97  	color: RED  	rank: 4 	size: 1 	parent: 128 	lchild: NIL 	rchild: NIL 
key: 143 	color: RED  	rank: 6 	size: 1 	parent: 128 	lchild: NIL 	rchild: NIL 
key: 198 	color: BLACK	rank: 9 	size: 3 	parent: 144 	lchild: 185 	rchild: 209 
key: 185 	color: RED  	rank: 8 	size: 1 	parent: 198 	lchild: NIL 	rchild: NIL 
key: 209 	color: RED  	rank: 10	size: 1 	parent: 198 	lchild: NIL 	rchild: NIL 
key: 315 	color: RED  	rank: 16	size: 12	parent: 218 	lchild: 246 	rchild: 378 
key: 246 	color: BLACK	rank: 13	size: 4 	parent: 315 	lchild: 234 	rchild: 306 
key: 234 	color: BLACK	rank: 12	size: 1 	parent: 246 	lchild: NIL 	rchild: NIL 
key: 306 	color: BLACK	rank: 15	size: 2 	parent: 246 	lchild: 265 	rchild: NIL 
key: 265 	color: RED  	rank: 14	size: 1 	parent: 306 	lchild: NIL 	rchild: NIL 
key: 378 	color: BLACK	rank: 19	size: 7 	parent: 315 	lchild: 329 	rchild: 417 
key: 329 	color: BLACK	rank: 17	size: 2 	parent: 378 	lchild: NIL 	rchild: 350 
key: 350 	color: RED  	rank: 18	size: 1 	parent: 329 	lchild: NIL 	rchild: NIL 
key: 417 	color: RED  	rank: 21	size: 4 	parent: 378 	lchild: 396 	rchild: 424 
key: 396 	color: BLACK	rank: 20	size: 1 	parent: 417 	lchild: NIL 	rchild: NIL 
key: 424 	color: BLACK	rank: 23	size: 2 	parent: 417 	lchild: 418 	rchild: NIL 
key: 418 	color: RED  	rank: 22	size: 1 	parent: 424 	lchild: NIL 	rchild: NIL 
key: 528 	color: BLACK	rank: 30	size: 15	parent: 446 	lchild: 504 	rchild: 584 
key: 504 	color: BLACK	rank: 28	size: 5 	parent: 528 	lchild: 494 	rchild: 526 
key: 494 	color: BLACK	rank: 26	size: 3 	parent: 504 	lchild: 491 	rchild: 497 
key: 491 	color: RED  	rank: 25	size: 1 	parent: 494 	lchild: NIL 	rchild: NIL 
